"","V1","V2"
"563",269,353
"564",405,-235
"565",454,440
"566",458,355
"567",521,381
"568",429,274
"569",438,428
"570",328,108
"571",301,198
"572",508,406
"573",201,-628
"574",517,-301
"575",472,-420
"576",163,443
"577",419,218
"578",474,394
"579",258,-181
"580",425,266
"581",388,-763
"582",400,-474
"583",404,372
"584",469,-351
"585",335,261
"586",359,303
"587",433,107
"588",535,376
"589",251,510
"590",257,446
"591",-51,331
"592",186,277
"593",329,205
"594",351,311
"595",327,-310
"596",566,486
"597",248,418
"598",360,476
"599",-461,291
"600",424,557
"601",441,369
"602",459,489
"603",282,354
"604",462,-34
"605",445,422
"606",430,582
"607",-3,574
"608",514,402
"609",442,528
"610",550,496
"611",468,367
"612",466,384
"613",241,409
"614",543,389
"615",506,210
"616",493,495
"617",188,346
"618",302,526
"619",464,288
"620",537,159
"621",490,275
"622",602,243
"623",513,412
"624",595,457
"625",473,538
"626",518,502
"627",522,356
"628",482,525
"629",507,378
"630",310,500
"631",-229,-768
"632",264,544
"633",577,497
"634",505,379
"635",416,564
"636",401,597
"637",383,439
"638",511,504
"639",603,399
"640",208,75
"641",478,485
"642",604,207
"643",553,594
"644",479,417
"645",481,-133
"646",552,586
"647",578,-452
"648",461,483
"649",488,593
"650",420,625
"651",608,581
"652",333,520
"653",533,561
"654",480,-423
"655",323,549
"656",499,509
"657",623,559
"658",573,432
"659",657,435
"660",613,529
"661",558,382
"662",519,475
"663",484,619
"664",643,321
"665",548,562
"666",503,572
"667",487,470
"668",583,575
"669",591,631
"670",637,434
"671",590,588
"672",622,-441
"673",598,211
"674",617,620
"675",546,366
"676",556,423
"677",541,580
"678",491,607
"679",570,592
"680",662,634
"681",641,512
"682",524,498
"683",568,471
"684",649,324
"685",589,629
"686",677,560
"687",596,426
"688",542,654
"689",601,515
"690",648,605
"691",576,599
"692",652,626
"693",668,638
"694",642,-89
"695",569,571
"696",532,477
"697",530,501
"698",670,540
"699",534,656
"700",678,644
"701",658,492
"702",531,447
"703",536,612
"704",579,640
"705",527,555
"706",687,585
"707",669,609
"708",563,584
"709",616,618
"710",624,567
"711",645,545
"712",697,632
"713",681,660
"714",565,685
"715",610,688
"716",695,676
